"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-05-31,270409,"Holiday Park","NM","Albuquerque","Bernalillo County","Albuquerque",4627,225200,0.00133392618941752,-0.00749228735125606,0.061262959472196,0.041918647939537,0.00993592701528967,"2019-02","2019-Q1",226900,-0.00749228735125606,"2018-12"
2019-05-31,203392,"Sayler Park","OH","Cincinnati","Hamilton County","Cincinnati",4628,108500,-0.0216411181244364,-0.0372670807453416,0.0503388189738625,0.0532727685830905,0.0116848842490935,"2006-05","2006-Q2",115200,-0.0581597222222222,"2004-12"
2019-05-31,270262,"The Gate District","MO","St. Louis","Saint Louis City","Saint Louis",4629,175000,-0.00171135196805476,-0.00171135196805476,-0.0107405313736574,0.0632231818761306,-0.000114213934969576,"2008-07","2008-Q3",180200,-0.0288568257491676,"2008-04"
2019-05-31,29812,"Shark River Hills","NJ","New York-Newark-Jersey City","Monmouth County","Neptune",4630,360600,0.000554938956714761,0.00138850319355735,0.0540777550423853,0.0483279079728531,0.0108849269672362,"2007-05","2007-Q2",366400,-0.0158296943231441,"2006-04"
2019-05-31,190944,"Central","WI","Appleton","Outagamie County","Appleton",4631,118500,-0.01578073089701,-0.030278232405892,0.050531914893617,0.0608401616542955,0.0322164012888126,"2019-03","2019-Q1",122200,-0.030278232405892,"2018-10"
2019-05-31,273770,"Four Corners","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",4632,228200,0.00087719298245614,0.00351802990325418,0.0799810695693327,0.0978302701000391,0.0443227683564178,"2019-05","2019-Q2",228200,0,"2019-05"
2019-05-31,264016,"Hillside","CA","San Francisco-Oakland-Hayward","Alameda County","Albany",4633,579800,-0.0117606954150332,-0.0260372921216194,-0.0152853260869565,0.0733386305907142,0.0508732823274076,"2018-10","2018-Q4",602200,-0.0371969445366988,"2018-02"
2019-05-31,417080,"Villages of Brimhall - Brimhall Classics","CA","Bakersfield","Kern County","Bakersfield",4634,307800,0.0022793878215565,0.0212342402123424,0.0665280665280665,0.028771549707731,0.0367257600072286,"2006-06","2006-Q2",377100,-0.183770883054893,"2005-07"
2019-05-31,237635,"Settegast","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",4635,79900,-0.0315151515151515,-0.063305978898007,0.0217391304347826,0.0493428969721295,0.0188337548650224,"2019-02","2019-Q1",85300,-0.063305978898007,"2018-11"
2019-05-31,410930,"Parkside","WI","Chicago-Naperville-Elgin","Kenosha County","Kenosha",4636,267800,0,0.0136260408781226,0.169943206640454,0.103854173783574,0.0294168804126653,"2019-05","2019-Q2",267800,0,"2019-05"
2019-05-31,270308,"Upper Rattlesnake","MT","Missoula","Missoula County","Missoula",4637,435700,-0.0113455865668255,-0.0250615350190199,0.0278367539514036,0.0628093510835317,0.0298101166542153,"2019-02","2019-Q1",446900,-0.0250615350190199,"2018-10"
2019-05-31,273284,"Clifton","KY","Louisville/Jefferson County","Jefferson County","Louisville",4638,181800,-0.0183585313174946,-0.0319488817891374,0.0179171332586786,0.0711941501550901,0.0429391135856549,"2018-11","2018-Q4",188500,-0.0355437665782493,"2018-07"
2019-05-31,211078,"Goldenridge","PA","Philadelphia-Camden-Wilmington","Bucks County","Levittown",4639,206900,-0.0133524082021936,-0.0281822451855331,0.0227385071675729,0.0353619054280132,0.00744956244648698,"2019-02","2019-Q1",212900,-0.0281822451855331,"2018-08"
2019-05-31,761250,"Fernway","OH","Cleveland-Elyria","Cuyahoga County","Shaker Heights",4640,234400,-0.0101351351351351,-0.00593723494486853,0.000426803243704652,0.0234980784877483,0.0158455110110542,"2005-01","2005-Q1",263400,-0.110098709187547,"2003-08"
2019-05-31,417837,"Community Fiesta","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Mesa",4641,199500,-0.0143280632411067,-0.0571833648393195,0.0702789699570815,0.096088352280997,,"2019-01","2019-Q1",212500,-0.0611764705882353,"2018-09"
